anno	provincia	localizzazione_incidente	tipo_di_strada	intersezione_o_non_interse3	segnaletica	condizioni_meteorologiche	natura_incidente	veicolo__a___et__conducente	veicolo__a___esito_conducente	veicolo__b___et__conducente	veicolo__b___esito_conducente	altri_veicoli_coinvolti	morti_entro_24_ore	morti_entro_30_giorni	feriti	Ora	trimestre
21	092	1	2	03	3	1	05	18-29	1	     	 	0	0	0	1	09	1
21	092	1	2	03	4	1	02	30-44	1	65+  	2	0	0	0	1	17	1
21	092	1	2	07	4	1	04	30-44	1	45-54	2	0	0	0	1	12	1
21	092	6	3	04	4	1	04	65+  	1	30-44	2	0	0	0	2	07	1
21	092	6	3	07	4	1	04	65+  	1	18-29	2	0	0	0	2	15	1
21	095	5	2	01	4	1	02	18-29	2	18-29	2	0	0	0	3	10	1
21	111	1	2	01	4	1	02	30-44	2	65+  	2	0	0	0	3	16	1
21	111	1	2	01	4	1	02	65+  	1	55-64	2	0	0	0	1	17	1
21	111	1	2	01	2	1	02	55-64	1	55-64	1	0	0	0	1	17	1
21	111	1	1	07	4	1	05	55-64	1	     	 	0	0	0	1	11	1
21	111	1	2	01	4	1	02	18-29	2	65+  	1	0	0	0	2	15	1
21	111	2	2	02	4	1	03	45-54	2	55-64	1	0	0	0	1	15	1
21	111	1	2	01	4	1	02	30-44	2	55-64	2	0	0	0	2	08	1
21	090	1	2	07	4	1	04	30-44	1	55-64	2	0	0	0	1	13	2
21	090	1	2	01	4	1	02	55-64	1	30-44	2	0	0	0	1	13	2
21	090	1	2	03	4	1	02	30-44	2	45-54	1	0	0	0	1	11	2
21	090	8	2	07	1	1	08	30-44	2	     	 	0	0	0	1	17	2
21	090	1	2	07	4	1	08	18-29	2	     	 	0	0	0	1	14	2
21	090	1	2	07	4	1	04	55-64	1	45-54	2	0	0	0	1	09	2
21	090	1	2	07	4	1	05	65+  	1	     	 	0	0	0	1	18	2
21	090	1	2	07	4	1	05	45-54	1	     	 	0	0	0	1	18	2
21	090	1	2	07	1	1	08	15-17	2	     	 	0	0	0	1	17	2
21	090	1	1	01	4	7	02	45-54	1	45-54	2	0	0	0	1	13	2
21	090	1	1	01	3	1	11	18-29	2	     	 	0	0	0	1	11	2
21	090	1	2	08	1	1	04	18-29	2	45-54	2	0	0	0	3	19	2
21	090	1	2	01	2	1	03	65+  	1	45-54	2	0	0	0	1	10	2
21	091	1	1	07	4	7	05	65+  	1	     	 	0	0	0	1	12	2
21	092	1	2	07	4	1	03	65+  	2	55-64	1	0	0	0	1	11	2
21	092	1	2	07	4	1	04	65+  	1	18-29	1	0	0	0	1	15	2
21	092	1	2	07	4	1	10	45-54	2	     	 	0	0	0	1	07	2
21	092	1	2	07	4	1	05	30-44	1	     	 	0	0	0	2	16	2
21	092	1	2	03	4	1	02	65+  	1	ott-14	2	0	0	0	1	11	2
21	092	1	2	07	4	1	01	45-54	1	18-29	2	0	0	0	1	13	2
21	092	1	2	07	4	1	05	55-64	1	     	 	0	0	0	1	15	2
21	092	1	2	07	4	1	04	55-64	1	30-44	1	0	0	0	1	20	2
21	092	1	2	07	3	1	05	65+  	1	     	 	0	0	0	1	13	2
21	092	1	2	07	3	1	04	45-54	1	55-64	1	0	0	0	1	19	2
21	092	1	2	07	4	3	05	45-54	1	     	 	0	0	0	1	12	2
21	092	1	2	01	4	1	05	30-44	1	     	 	0	0	0	1	21	2
21	092	1	2	02	4	1	04	55-64	1	18-29	1	0	0	0	1	08	2
21	092	1	2	07	4	1	04	18-29	1	45-54	2	0	0	0	1	12	2
21	092	6	2	07	4	3	10	45-54	2	     	 	0	0	0	1	20	2
21	092	1	2	04	4	1	05	65+  	1	     	 	0	0	0	1	11	2
21	092	1	2	07	4	1	05	45-54	1	     	 	0	0	0	1	13	2
21	092	1	2	02	3	1	04	55-64	2	45-54	1	0	0	0	1	12	2
21	092	1	2	01	4	1	02	55-64	2	18-29	2	0	0	0	2	16	2
21	092	1	2	03	4	1	02	45-54	1	18-29	2	0	0	0	1	19	2
21	092	1	2	07	1	1	08	30-44	1	     	 	0	0	0	2	11	2
21	092	1	2	03	3	1	05	65+  	1	     	 	0	0	0	3	10	2
