anno,provincia,tipo_strada,tipo_carreggiata,punto_incidente,segnaletica,condizioni_meteorologiche,natura_incidente,altri_veicoli_coinvolti,morti_entro_24_ore,morti_entro_30_giorni,feriti,Ora,trimestre,hospital,police,school,popolazione_provincia,parco_veicolare
2022,Sassari,Strada urbana nell'abitato,Due carreggiate,Incrocio,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,2,8,2,4,34,29,476516,446717
2022,Cagliari,Statale,Due carreggiate,Rettilineo,Verticale,Sereno,Urto con ostacolo,0,0,0,2,13,2,4,19,35,421688,138903
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Verticale,Sereno,Scontro frontale-laterale,0,0,0,1,16,2,10,22,15,337178,291340
2022,Oristano,Statale,Una carreggiata a senso unico,Rettilineo,Verticale e orizzontale,Sereno,Tamponamento,0,0,0,2,8,2,6,12,7,151655,372870
2022,Sud Sardegna,Provinciale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Urto con ostacolo,0,0,0,1,10,2,10,22,15,337178,291340
2022,Sassari,Statale entro l'abitato,Una carreggiata a doppio senso,Incrocio,Orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,13,2,4,34,29,476516,446717
2022,Sassari,Statale,Una carreggiata a doppio senso,"Dosso, strettoia",Verticale e orizzontale,Sereno,Tamponamento,0,0,0,1,16,2,4,34,29,476516,446717
2022,Sassari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Tamponamento,0,0,0,5,17,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Urto con veicolo in fermata o in arresto,0,0,0,1,0,2,4,34,29,476516,446717
2022,Nuoro,Provinciale,Una carreggiata a doppio senso,Pendenza,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,1,4,2,5,27,10,200376,195555
2022,Sud Sardegna,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Tamponamento,0,0,0,2,23,2,10,22,15,337178,291340
2022,Sassari,Provinciale,Una carreggiata a doppio senso,Rettilineo,Verticale,Pioggia,Scontro frontale-laterale,0,0,0,2,9,2,4,34,29,476516,446717
2022,Sassari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Altro,Scontro frontale-laterale,0,0,0,3,13,2,4,34,29,476516,446717
2022,Nuoro,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Orizzontale,Pioggia,Scontro frontale-laterale,0,0,0,1,15,2,5,27,10,200376,195555
2022,Cagliari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Urto con ostacolo,0,0,0,1,20,2,4,19,35,421688,138903
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Assente,Altro,Urto con veicolo in fermata o in arresto,0,0,0,2,1,2,10,22,15,337178,291340
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Curva,Assente,Altro,"Fuoriuscita, sbandamento",0,0,0,1,18,2,10,22,15,337178,291340
2022,Sassari,Strada urbana nell'abitato,Due carreggiate,Incrocio,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,2,18,2,4,34,29,476516,446717
2022,Nuoro,Strada urbana nell'abitato,Una carreggiata a doppio senso,Curva,Verticale,Sereno,"Fuoriuscita, sbandamento",0,0,0,2,19,2,5,27,10,200376,195555
2022,Sassari,Provinciale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Altro,Scontro laterale,0,1,1,1,21,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Più di due carreggiate,Intersezione con semaforo o vigile,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,1,2,4,34,29,476516,446717
2022,Sud Sardegna,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Altro,Scontro frontale,0,0,0,2,7,2,10,22,15,337178,291340
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Intersezione con semaforo o vigile,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,3,9,2,10,22,15,337178,291340
2022,Cagliari,Statale,Due carreggiate,Curva,Verticale,Sereno,"Fuoriuscita, sbandamento",0,0,0,1,0,2,4,19,35,421688,138903
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a senso unico,Intersezione segnalata,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,2,22,2,4,34,29,476516,446717
2022,Oristano,Provinciale entro l'abitato,Una carreggiata a doppio senso,Intersezione con semaforo o vigile,Verticale e orizzontale,Sereno,Tamponamento,0,0,0,2,8,2,6,12,7,151655,372870
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Verticale,Sereno,Investimento di pedoni,0,0,0,1,10,2,4,34,29,476516,446717
2022,Nuoro,Comunale extraurbana,Una carreggiata a doppio senso,Curva,Assente,Sereno,Urto con ostacolo,0,0,0,1,4,2,5,27,10,200376,195555
2022,Sassari,Strada urbana nell'abitato,Due carreggiate,Rettilineo,Verticale e orizzontale,Sereno,Infortunio per caduta da veicolo,0,0,0,1,6,2,4,34,29,476516,446717
2022,Sassari,Provinciale,Una carreggiata a doppio senso,Curva,Verticale e orizzontale,Sereno,"Fuoriuscita, sbandamento",0,0,0,1,11,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Investimento di pedoni,0,0,0,2,13,2,4,34,29,476516,446717
2022,Cagliari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Scontro frontale,0,0,0,1,15,2,4,19,35,421688,138903
2022,Cagliari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,2,13,2,4,19,35,421688,138903
2022,Oristano,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,17,2,6,12,7,151655,372870
2022,Cagliari,Statale,Una carreggiata a doppio senso,Rotatoria,Verticale e orizzontale,Sereno,Urto con ostacolo,0,0,0,3,21,2,4,19,35,421688,138903
2022,Sassari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,8,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Due carreggiate,Rettilineo,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,23,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a senso unico,Incrocio,Verticale e orizzontale,Sereno,Scontro laterale,0,0,0,1,7,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Scontro frontale-laterale,0,0,0,4,16,2,4,34,29,476516,446717
2022,Sassari,Provinciale entro l'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Scontro frontale-laterale,0,0,0,2,17,2,4,34,29,476516,446717
2022,Sassari,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Assente,Sereno,Urto con ostacolo,0,0,0,2,3,2,4,34,29,476516,446717
2022,Oristano,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Urto con veicolo in fermata o in arresto,0,0,0,1,10,2,6,12,7,151655,372870
2022,Sassari,Provinciale,Una carreggiata a doppio senso,Curva,Orizzontale,Sereno,Scontro frontale-laterale,1,0,0,2,10,2,4,34,29,476516,446717
2022,Sud Sardegna,Statale entro l'abitato,Una carreggiata a doppio senso,Incrocio,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,11,2,10,22,15,337178,291340
2022,Sud Sardegna,Strada urbana nell'abitato,Una carreggiata a doppio senso,Rettilineo,Assente,Sereno,Scontro frontale,0,0,0,4,0,2,10,22,15,337178,291340
2022,Cagliari,Statale,Una carreggiata a doppio senso,Curva,Verticale e orizzontale,Sereno,Infortunio per frenata improvvisa,0,0,0,3,3,2,4,19,35,421688,138903
2022,Nuoro,Statale,Una carreggiata a doppio senso,Curva,Verticale e orizzontale,Sereno,Urto con ostacolo,0,0,0,2,16,2,5,27,10,200376,195555
2022,Oristano,Statale,Due carreggiate,Rettilineo,Assente,Sereno,Investimento di pedoni,0,0,0,1,19,2,6,12,7,151655,372870
2022,Nuoro,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Infortunio per caduta da veicolo,0,0,0,1,20,2,5,27,10,200376,195555
2022,Sassari,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,1,21,2,4,34,29,476516,446717
2022,Sud Sardegna,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Tamponamento,0,0,0,3,1,2,10,22,15,337178,291340
2022,Sassari,Statale,Una carreggiata a doppio senso,Rettilineo,Orizzontale,Sereno,Scontro laterale,0,0,0,3,15,2,4,34,29,476516,446717
2022,Oristano,Strada urbana nell'abitato,Una carreggiata a doppio senso,Intersezione segnalata,Verticale e orizzontale,Sereno,Scontro frontale-laterale,0,0,0,2,21,2,6,12,7,151655,372870
2022,Nuoro,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale,Sereno,Urto con ostacolo,0,0,0,1,13,2,5,27,10,200376,195555
2022,Sassari,Statale,Una carreggiata a doppio senso,Incrocio,Verticale,Sereno,Tamponamento,0,0,0,1,8,2,4,34,29,476516,446717
2022,Nuoro,Statale,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Altro,Tamponamento,0,0,0,3,8,2,5,27,10,200376,195555
2022,Sud Sardegna,Statale entro l'abitato,Una carreggiata a doppio senso,Incrocio,Verticale,Sereno,Urto con ostacolo,0,0,0,2,9,2,10,22,15,337178,291340
2022,Sassari,Comunale extraurbana,Una carreggiata a doppio senso,Rettilineo,Verticale e orizzontale,Sereno,Urto con ostacolo,0,0,0,3,15,2,4,34,29,476516,446717
2022,Nuoro,Strada urbana nell'abitato,Una carreggiata a doppio senso,Incrocio,Orizzontale,Altro,Tamponamento,0,0,0,1,17,2,5,27,10,200376,195555
